cand_id;job_id;distance_km;match_score;match_rank;cand_gender;cand_age_bucket;cand_domicile_province;cand_domicile_region;cand_education;cand_languages_spoken;job_contract_type;job_professional_category;job_sector;job_work_province
5,664,912;OFF_1011_1427;32.32704163;99.57338715;1;Male;45-54;UD;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
4,999,120;OFF_1011_1427;15.5955925;99.21056366;2;Male;35-44;UD;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
5,413,671;OFF_1011_1427;31.34887695;99.1186142;3;Female;45-54;UD;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
5,965,090;OFF_1011_1427;66.31559753;97.40976715;4;Male;15-24;TS;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
5,771,219;OFF_1011_1427;15.5955925;97.32387543;5;Female;35-44;UD;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
2,216,205;OFF_1011_1427;24.94693947;96.9223175;6;Male;55-74;UD;FRIULI VENEZIA GIULIA;Diploma / Accademia : Geometra;"Ebraico;Rumeno;Serbo";Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
4,594,051;OFF_1011_1427;27.95996857;96.24521637;7;Male;55-74;UD;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
5,148,878;OFF_1011_1427;25.51218033;96.23524475;8;Male;25-34;UD;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
5,933,345;OFF_1011_1427;28.8568325;96.00971222;9;Female;45-54;GO;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
7,204,128;OFF_1011_1427;31.34887695;95.80227661;10;Female;35-44;UD;FRIULI VENEZIA GIULIA;N/A;N/A;Lavoro subordinato;Geometra e tecnico di costruzioni civili e industriali;Progettisti / Design / Grafici;UD 
5,025,089;OFF_1038_1739;17.78607559;99.94982147;1;Male;25-34;MI;LOMBARDIA;Diploma / Accademia : Liceo scientifico;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
3,082,155;OFF_1038_1739;26.29641724;99.92641449;2;Female;25-34;MB;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
5,976,262;OFF_1038_1739;26.29641724;99.92641449;3;Female;25-34;MB;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
5,386,880;OFF_1038_1739;17.78607559;99.92209625;4;Male;35-44;MI;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
5,904,646;OFF_1038_1739;16.63249207;99.9187088;5;Female;25-34;MI;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
6,111,549;OFF_1038_1739;18.18578529;99.91743469;6;Female;45-54;BG;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
5,610,361;OFF_1038_1739;26.29641724;99.90903473;7;Female;25-34;MB;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
7,170,834;OFF_1038_1739;46.08162689;99.89350891;8;Female;25-34;BG;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
5,981,770;OFF_1038_1739;23.37417984;99.88941193;9;Female;25-34;MB;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
6,350,598;OFF_1038_1739;18.18578529;99.88456726;10;Female;35-44;BG;LOMBARDIA;N/A;N/A;Ricerca e selezione;Macellaio (m/f);GDO / Retail / Commessi / Scaffalisti;MI 
7,090,323;OFF_104_1550;21.66576576;99.99417877;1;Male;35-44;CH;ABRUZZO;N/A;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
6,464,503;OFF_104_1550;21.66576576;99.99328613;2;Male;35-44;CH;ABRUZZO;N/A;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
5,685,327;OFF_104_1550;21.66576576;99.99246216;3;Male;45-54;CH;ABRUZZO;N/A;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
6,294,358;OFF_104_1550;21.66576576;99.98854065;4;Male;15-24;CH;ABRUZZO;N/A;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
252,922;OFF_104_1550;21.66576576;99.97786713;5;Male;35-44;CH;ABRUZZO;N/A;Serbo;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
5,095,527;OFF_104_1550;21.66576576;99.9758606;6;Male;25-34;CH;ABRUZZO;N/A;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
5,988,333;OFF_104_1550;10.25592709;99.97257996;7;Male;35-44;CH;ABRUZZO;N/A;Serbo;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
3,317,129;OFF_104_1550;49.96115112;99.97012329;8;Male;25-34;CB;MOLISE;Diploma / Accademia : Perito per l'elettrotecnica e l'automazione;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
7,131,195;OFF_104_1550;48.70557785;99.96979523;9;Male;45-54;CB;MOLISE;N/A;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
7,268,942;OFF_104_1550;18.10775185;99.96966553;10;Male;25-34;CH;ABRUZZO;N/A;N/A;Lavoro subordinato;saldatore/saldatrice;Operai Specializzati;CH 
7,243,240;OFF_1042_1739;80.31867218;99.9752655;1;Female;45-54;BS;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
1,581,209;OFF_1042_1739;80.31867218;99.92726135;2;Male;25-34;BS;LOMBARDIA;N/A;Rumeno;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
6,262,842;OFF_1042_1739;80.31867218;99.92553711;3;Male;45-54;BS;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
6,125,370;OFF_1042_1739;63.58769226;99.92333221;4;Female;45-54;BS;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
7,502,108;OFF_1042_1739;15.14988232;99.91843414;5;Male;25-34;MI;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
6,453,966;OFF_1042_1739;76.65083313;99.90287781;6;Female;25-34;AL;PIEMONTE;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
6,108,480;OFF_1042_1739;30.33630562;99.89750671;7;Female;45-54;VA;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
7,244,922;OFF_1042_1739;63.58769226;99.89701843;8;Male;35-44;BS;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
6,263,970;OFF_1042_1739;19.7698288;99.87755585;9;Female;45-54;MI;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
5,305,731;OFF_1042_1739;21.12740707;99.87018585;10;Female;45-54;MI;LOMBARDIA;N/A;N/A;Ricerca e selezione;Capo Reparto grande distribuzione organizzata;GDO / Retail / Commessi / Scaffalisti;MI 
5,026,884;OFF_111_1704;8.802752495;99.9732132;1;Male;45-54;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
6,853,912;OFF_111_1704;24.02428818;99.96656036;2;Female;25-34;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
5,668,962;OFF_111_1704;7.65733242;99.96379852;3;Female;45-54;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
7,289,988;OFF_111_1704;14.25273037;99.95600891;4;Female;35-44;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
4,860,373;OFF_111_1704;14.32505226;99.9525528;5;Female;55-74;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
6,724,515;OFF_111_1704;0;99.95238495;6;Female;25-34;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
4,427,049;OFF_111_1704;18.74547958;99.95210266;7;Male;55-74;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
6,211,418;OFF_111_1704;14.25273037;99.9504776;8;Female;55-74;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
2,280,890;OFF_111_1704;35.0238533;99.94617462;9;Male;25-34;NO;PIEMONTE;Licenza media;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
7,129,945;OFF_111_1704;18.40697289;99.94345093;10;Male;25-34;MI;LOMBARDIA;N/A;N/A;Lavoro subordinato;Autista di autocarro a portale (m/f);Magazzino / Logistica / Trasporti;MI 
7,206,051;OFF_1149_0073;12.97217369;99.84623718;1;Male;35-44;BS;LOMBARDIA;N/A;N/A;Ricerca e selezione;magazziniere/magazziniera;Magazzino / Logistica / Trasporti;BS 
6,739,675;OFF_1149_0073;62.43985367;99.84481812;2;Female;55-74;VR;VENETO;N/A;N/A;Ricerca e selezione;magazziniere/magazziniera;Magazzino / Logistica / Trasporti;BS 
