,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sector,,,,,,,,,,,,,,,,,,,,,,,,
0,65.0,2.500225740696973,3.4750591175500722,0.0,0.28860294117647056,1.1544117647058825,2.6936274509803924,11.580882352941178,65.0,-0.00028060404825660704,0.020781226560587646,-0.03184713375796178,-0.018124765829898838,0.0024587860621955795,0.016181153990258525,0.033590102707749765,65.0,0.008288827459014403,0.004832846287894104,0.0011412795374013615,0.004325992913197539,0.008412860589987175,0.011597573965783353,0.015564749465941972
1,10.0,1.6300565057197836,1.409193540651499,0.14224137931034483,0.7586206896551725,1.3275862068965518,2.054849768098407,5.120689655172414,10.0,0.005867877140453466,0.09642491677122207,-0.20794148380355276,-0.04153605015673981,0.029780564263322887,0.06663666126407665,0.12486938349007315,10.0,0.047727211513976214,0.03560589706860735,0.018981018981018977,0.01964946817887994,0.04399246586746587,0.04928404928404928,0.13253413253413254
2,55.0,3.1234485980982787,4.387969146952024,0.0,0.1556629092860977,0.9417475728155339,4.086151368760064,13.942307692307693,55.0,0.0020228069341645693,0.02635403469309194,-0.03460207612456748,-0.026203564884224553,-0.0012010809728755893,0.02519573546560053,0.044628647214854114,55.0,0.009550560896942452,0.005382990410156528,0.0004978323549544687,0.0040172066884063,0.01091375841254423,0.01430278554846081,0.018640077551585654
3,40.0,2.5446089804542806,3.352388605806488,0.0,0.2513585778291661,0.9893048128342246,3.925475025600182,9.946524064171122,40.0,-0.001231601370644396,0.03254682339774024,-0.05405405405405406,-0.032114467408585055,-0.00028905911258852654,0.031755204167050494,0.048099591742855496,40.0,0.014092349619707997,0.007999345618027611,0.00014530659691950124,0.005550712002324907,0.01604153241600647,0.021548968323161874,0.02717233362394653
4,76.0,2.0378787120023376,3.274931638242798,0.0,0.32429718875502,0.7082497079351766,1.9457831325301205,13.012048192771084,76.0,-0.0022140173414751984,0.01978911427987922,-0.030959752321981424,-0.016735673343528917,-0.0060740231777871665,0.011712484613376106,0.037074222817194705,76.0,0.0074325151740046854,0.0043235563892366075,0.0009790209790209795,0.0041893091428695135,0.007285284375067657,0.010598941677324825,0.016110787925796653
5,157.0,2.707755349991858,3.6305667299772693,0.0,0.27399650959860383,1.0850694444444444,4.311418685121107,10.940766550522646,157.0,3.1362359175824e-05,0.010301981687162969,-0.016025641025641024,-0.009248452107024156,0.0006805555555555558,0.010630557576632768,0.015829246099558356,157.0,0.004241798411250304,0.00249965414471528,0.0003263946711074099,0.0019366183132799343,0.004432775982800086,0.00672639467110741,0.007699246354533614
6,27.0,2.6778502841465808,3.183984273558801,0.0,0.43079365079365084,1.18,5.113333333333333,7.933333333333334,27.0,-0.0019343732471017274,0.04974171968673254,-0.0847457627118644,-0.03175141242937853,0.006101694915254238,0.043954802259887,0.05826330532212885,27.0,0.023475561144582602,0.014219428648352312,0.0034151277510751296,0.011889704022261569,0.022008601062484194,0.03248883196401237,0.04743232987604351
7,283.0,3.00443959604946,4.30137766761366,0.0,0.31746920492721165,0.8482810164424515,2.9689835575485803,12.73542600896861,283.0,0.00010336044010189378,0.006355834539599092,-0.008818342151675485,-0.004815032064005562,-0.0008020386795993756,0.005204361826119595,0.010330480641697719,283.0,0.0024291210748401217,0.0013825337519855778,3.4772857177008815e-05,0.0012394403941846793,0.0022878964664855145,0.0038771735752365106,0.004543781426229964
8,125.0,2.453745065795694,3.707684688146344,0.0,0.31867588932806323,0.849802371541502,2.974308300395257,12.766798418972332,125.0,-0.00026483206465506017,0.010144276694946915,-0.015503875968992248,-0.008450531605233324,-0.0013971872414744006,0.009182829304163986,0.0182148582337033,125.0,0.0038276739716114725,0.0022645722997825164,0.0006142282747055132,0.002164615871604738,0.0037150034685039628,0.0052653910654031875,0.00800062349501204
9,27.0,2.9742344256699096,3.295469473491935,0.0,0.5760000000000001,1.296,5.616,8.719999999999999,27.0,0.006777384401599325,0.05056082859410178,-0.09259259259259259,-0.023555555555555552,0.010962962962962966,0.05411111111111111,0.0708256880733945,27.0,0.023290298835748208,0.013571619126886118,0.0033778413606739763,0.012637100619933235,0.0243999364171038,0.03365919567636306,0.04967413765697027
