,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sector,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1756.0,0.8660040347974008,1.5381061013113095,0.0,0.0,0.3296124031007752,1.3184496124031009,18.462635658914724,1756.0,-0.00032579385911215165,0.0018091873589943864,-0.009886820246924385,-0.0009407337723424271,-0.00032057873358273716,7.494937454090775e-05,0.01795714921204431,1756.0,0.0004669951299981586,0.0006406902955629073,4.5294123049789735e-06,0.00010143996308025705,0.0002629575477057206,0.0005485621569363357,0.007745326495766067
1.0,44.0,1.0560005055462498,1.032136899999151,0.0,0.43865030674846633,0.6768916155419223,1.350715746421268,5.736196319018405,44.0,-0.0009857613036221354,0.02406741615668561,-0.07440044617958728,-0.008496002974530585,-0.0014733923858532311,0.005193703947712067,0.07707752370329056,44.0,0.00884979603520476,0.011256473888146908,4.44000444000444e-05,0.0022505272505272504,0.004822954822954823,0.010922410922410922,0.046020646020646025
2.0,527.0,1.4449983542670086,1.3259854106361746,0.0,0.6119402985074626,1.087893864013267,1.8358208955223878,9.24709784411277,527.0,0.00044319662599424166,0.004100787988330484,-0.019976337823079723,-0.001028900214375278,0.0003488654289527972,0.0021538648222303117,0.02725700764470331,527.0,0.0014314195226636918,0.0017625013669778952,4.4548390689385514e-05,0.000353602851097004,0.0008104219615547683,0.0017819356275754544,0.015010023387905112
3.0,1055.0,1.2832767284518574,1.258332768912514,0.0,0.6442635862431085,0.9425337650593623,1.610658965607771,9.667891835127328,1055.0,0.00022810851672139365,0.0023516764260912257,-0.01955380417374626,-0.00040749796251018743,-0.00014479587684650835,0.0006428124192942111,0.030800277214156065,1055.0,0.000682934248858819,0.0012641095795380857,4.879825513055217e-06,8.816218093586202e-05,0.0002693663683206414,0.0007650265117666907,0.018731958471773984
4.0,1062.0,1.255618654711838,1.1014446300187064,0.0,0.6672308017770255,0.9531868596814652,1.6680770044425641,9.344192934207744,1062.0,0.0001271244832647398,0.0018225540996868036,-0.020170624935693028,-0.0005275351905881015,-0.00010416556274422386,0.0007406956274207762,0.01270699132695927,1062.0,0.0006448518912502058,0.0008857739507238472,3.2184515112525756e-07,0.00018896333435438728,0.00038001866219108797,0.000761968395288927,0.0120982799227282
5.0,133.0,0.614771230443836,1.6759439504849005,0.0,0.0,0.0,0.3621621621621622,13.037837837837838,133.0,-0.0028063974646849736,0.025271235383344248,-0.03316749585406302,-0.009519967728922952,-0.003316749585406302,-0.001658374792703151,0.24564564564564567,133.0,0.002487467247556728,0.005422464907687836,0.0001010177538702424,0.0006776607655462116,0.001168017779124681,0.002725374817957588,0.057670614777213774
6.0,74.0,1.0625252482462364,1.0197445209338682,0.0,0.31974214343271556,0.8767123287671232,1.7534246575342465,4.383561643835616,74.0,-0.0006263309601831368,0.01254544337453972,-0.02896689497716895,-0.004732686453576867,-0.0006421232876712328,0.0022898028233475517,0.05427130898021308,74.0,0.004042466453765361,0.005313551485883679,0.00011235671008317204,0.0007547823217939828,0.00202757502027575,0.00542059509326845,0.02891828872668288
7.0,1392.0,1.2676751521360652,1.2148734819217955,0.0,0.47048054919908466,0.9409610983981693,1.5686498855835243,10.193745232646833,1392.0,0.0001710337786991139,0.0016588440883159097,-0.012656673404031139,-0.0003377493492655678,-5.243740753908046e-05,0.0005195858450050011,0.023566677648273957,1392.0,0.00048793992072478516,0.0007971329605087966,3.0151899028984033e-06,0.00010719519965131927,0.00023539275655731036,0.0005114645837873445,0.013209027104269841
8.0,2016.0,0.8487969931743807,1.3282569898419856,0.0,0.0,0.42123676248108927,1.2035336070888265,18.53857791225416,2016.0,-0.0004297507568377205,0.0018974876634083805,-0.011149484422303384,-0.0008978675645342312,-0.0002951858473794934,0.00015374793488762224,0.03217313494671034,2016.0,0.0003933903263812779,0.0006084749069095994,4.584828738465408e-06,8.360198058277599e-05,0.00019354301178032217,0.00044434895352865014,0.011982781912819006
9.0,1106.0,1.3562162811161778,1.3366408306405189,0.0,0.5282280458174246,0.9953535704143133,1.8769524470669905,11.261714682401944,1106.0,0.00026913563162166674,0.0020629962441231354,-0.011829460252843451,-0.00028877000027119825,-2.7721599081327868e-05,0.0006385796720362322,0.01944636075180014,1106.0,0.0006265919449928902,0.0010095234858190393,4.1245912530069387e-07,6.704752225721099e-05,0.00026448225308276104,0.0006621229252847709,0.011107249271597185
10.0,153.0,1.119116941544133,0.872851742721012,0.0,0.5801261829652997,0.9141382277028967,1.3536277602523659,4.644794952681388,153.0,0.0004996970722976092,0.006739493206529404,-0.015253626731027526,-0.0018160672289665035,-0.0001847458586565528,0.00133850690352561,0.05888349689431402,153.0,0.0018674894155001009,0.003318166583142771,1.7700214085540796e-05,0.00043438066370579675,0.0009375310116455805,0.001873030851182983,0.03320182944770109
11.0,2441.0,1.3514710987396068,2.352094208671975,0.0,0.0,0.725643532095145,1.4516129032258065,29.0257412838058,2441.0,2.260926549920669e-05,0.0017644522447213904,-0.010757223874827478,-0.0005722301158081971,-0.000224517287831163,0.00030396524305587556,0.02374023415638782,2441.0,0.00039260065969217,0.0006033279393901054,3.282852806251249e-06,9.159159329440904e-05,0.00018318318658881808,0.00045795796647204534,0.009684803751954565
12.0,1595.0,0.6438179308080947,1.1677993955167056,0.0,0.0,0.0,0.8671023965141613,15.035078251484078,1595.0,-0.0003837864167446449,0.0026552237972963014,-0.009715875654581596,-0.0010050251256281408,-0.0005025125628140704,-0.00017695059214041064,0.06053947557539452,1595.0,0.00038053710634505783,0.0007625381011070282,1.1802540906142136e-05,7.981791350029766e-05,0.00020404611778246633,0.000419894776471075,0.01923189580682428
13.0,757.0,1.226282879943073,1.2322621398268803,0.0,0.5134741183162684,0.8713500189609403,1.4943117178612058,10.456200227531285,757.0,7.478082870491197e-05,0.002315653529124598,-0.01863139845095038,-0.00048673152954570873,-9.624824555363423e-05,0.0006604559116977594,0.016718480721792314,757.0,0.000738384451895871,0.001101414136539985,2.7280237228943273e-06,0.00011036095969890552,0.00033108287909671677,0.0008910717487599275,0.010665580747890188
14.0,274.0,0.9299711846994342,0.9498876153278555,0.0,0.17330210772833723,0.7278688524590163,1.21437578814628,6.065573770491803,274.0,-0.0009866160840384702,0.005591665253753728,-0.01905183872396987,-0.0037149381411676497,-0.0010395010395010396,0.001482567056337548,0.024539040932483547,274.0,0.001784654864402028,0.0018402494858221808,3.8500038500038566e-05,0.0004697004697004698,0.0010895510895510894,0.0023850773850773855,0.01108801108801108
