,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sector,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1756.0,1.6548633091517386,3.0013320750883254,0.0,0.3365871962856042,0.8136198621974693,1.557671769094397,34.34107750851192,1756.0,-6.033111989116453e-05,0.002515209291813478,-0.03895003976419425,-0.0006004376387335223,-0.00020229609698344187,0.00041286573473783047,0.013645430318857489,1756.0,0.0008076814975822658,0.0014651300271433458,5.366913322844792e-08,0.00013642603116692113,0.0003970850634579321,0.0009071312796373113,0.02579131294269436
1.0,44.0,3.154732503080856,6.485890885339279,0.0,0.6604168890786805,0.9810648954703833,2.0112570356472794,33.919999999999995,44.0,0.0019472623915814142,0.029013101019788975,-0.10143688205333065,-0.0038109756097560975,-0.0005228017132779008,0.007085850675020513,0.102875,44.0,0.009566700619771823,0.014727067962669909,1.1201846064231441e-05,0.0018175591082091182,0.003985831333088799,0.009446543468502171,0.06272865853658537
2.0,527.0,1.7605465282445358,3.2110767208642086,0.0,0.36875,0.7490589711417817,1.8437500000000002,30.5468258956631,527.0,-0.0004522311886864942,0.008664431442687403,-0.07267393152742119,-0.002221906543495591,-0.00043115353071520885,0.001457927200492833,0.049244709826105175,527.0,0.0033037404576231988,0.005350867393536265,1.448380481929544e-05,0.0007387210633657149,0.0013926940639269409,0.0036430916561248066,0.052530974250186185
3.0,1055.0,2.2874550409812793,8.077300534816857,0.0,0.3891415227510596,0.693035670953652,1.5615440640932265,135.13174224343675,1055.0,-0.0002502695398237715,0.006332080111102133,-0.06926740596311642,-0.0008940093503693779,-0.00022259502364393484,0.0002839681322137521,0.06467297118777085,1055.0,0.0014154760130289927,0.003933546966595126,9.884051095152837e-06,0.00014822337934975165,0.00034537667708947313,0.0011312372723246678,0.045378279844589926
4.0,1062.0,2.598226434919585,7.2131227106042735,0.0,0.2804309218764618,0.666936073338875,1.8290574702364348,117.38860103626943,1062.0,-0.00035001136859955404,0.005008809652317516,-0.0574630636616499,-0.0014257006928327896,-0.00021850313849962571,0.0007030515159988002,0.04696876555135974,1062.0,0.0016378312077228291,0.003028808609663248,6.354621931770055e-06,0.00022888285212835447,0.0007006668484605028,0.0018370293703357894,0.03921283547422322
5.0,133.0,1.443046090928218,1.998090986115445,0.0,0.41651705565529623,0.829443447037702,1.6762589928057554,11.095840867992766,133.0,-0.0005880184317284777,0.015901957079443554,-0.10938313631311836,-0.003653893392286908,-0.0007447749383233254,0.004145173176123805,0.04277898672878291,133.0,0.006095660743821687,0.009377415662488238,0.00022140619937358053,0.00175699124768137,0.0028743112499457664,0.006082618589182566,0.07731777528731842
6.0,74.0,1.713167394484136,3.318499457231516,0.0,0.4839241886082835,0.5463659147869674,1.593366169981701,17.381727158948685,74.0,-0.0006236177449761781,0.024099204682508344,-0.11978221415607987,-0.004605646485513004,-0.0010472861191431818,0.00271606682189337,0.07549183022556999,74.0,0.008132610400950641,0.013283800682783637,0.0001322677397119919,0.0006820874492171878,0.0029703685401434197,0.010227227099957555,0.07752328215454318
7.0,1392.0,1.7248538071472994,8.642365030317475,0.0,0.2506671952043982,0.5469124613714629,1.5851386942313954,267.3832976445396,1392.0,-0.00036562013318058097,0.004895321918525771,-0.07235803978660374,-0.0007768798957951354,-0.0001379916236447716,0.0003577643056956698,0.08106612831544115,1392.0,0.0011057412825418711,0.0029645564080300895,2.8684748228100312e-06,0.00014104029295033298,0.0003922022396051604,0.0009069456303241543,0.05259724965299169
8.0,2016.0,1.2310901692576377,2.440205256488276,0.0,0.25829985787614207,0.5607825895801275,1.3673845113355143,44.16644707949055,2016.0,-0.00025663561646534477,0.002607370824495183,-0.023161899225468907,-0.0007864726700747149,-0.00017460568432173072,0.0002661332384628006,0.03390199669444882,2016.0,0.0008216529158993725,0.0014608307004116837,2.8295039141744763e-06,0.00011294285047300375,0.0003370478237685848,0.0008662277245421641,0.021619149040114072
9.0,1106.0,2.0581603047302277,6.1803092219469455,0.0,0.3329426545282099,0.6610695525031531,1.419715295219631,95.74814599389269,1106.0,-0.000308282334216506,0.00423365973394691,-0.04688061182188679,-0.000811669278095702,-0.00016491860070477407,0.0004017655066687578,0.02949817745762537,1106.0,0.0012039619996903192,0.0026341529556884926,8.743823821748091e-06,0.00011428871944430425,0.0004258671118331552,0.001079345709059456,0.03198644440622986
10.0,153.0,2.162196840586245,4.0330633781642256,0.0,0.38317757009345793,0.8346868159028317,1.7042752867570385,24.994140625,153.0,-0.001735971485626196,0.017763901155154735,-0.06875736234306253,-0.0048710267137425855,-0.00029355070363977693,0.002308209832684654,0.13694241686942418,153.0,0.006124021555694179,0.011362346639284208,0.00010125405863785223,0.0006150863157551711,0.0022823024163956115,0.006205929178282492,0.10011265267401873
11.0,2441.0,1.2527031304423015,2.783174230784509,0.0,0.15930359085963003,0.6413612565445027,1.2877430631417959,75.26252983293557,2441.0,-0.00017002761682190633,0.0024595395520890825,-0.04554923888606639,-0.0006802721088435374,-0.00012324665109355958,0.00020009967955909945,0.031003596619530806,2441.0,0.0006606605586696149,0.0013485224556236892,3.933515450577421e-06,0.0001021082303926254,0.00028404981976973135,0.0006991628672412217,0.027887783372221427
12.0,1595.0,1.3818142217793608,3.53547025727067,0.0,0.18460309003729355,0.549269588313413,1.3933387424556822,82.11299285525271,1595.0,-0.00019401293583824842,0.003088400067452696,-0.06027743831682394,-0.0009606147934678194,-0.00022077199437777612,0.00031458964341629723,0.039471042751947794,1595.0,0.0008765282724712325,0.001784422428761052,1.7968766526672147e-06,0.00014403695357336822,0.0003764226087644569,0.0009342604636385513,0.03850398339936328
13.0,757.0,2.0067818732600227,6.453741161264176,0.0,0.29786957651338014,0.7932138838396954,1.7805447470817122,113.91711711711712,757.0,0.00014585896813893064,0.0076545599278168746,-0.09588661736248091,-0.0008737439930100481,-0.00017611204848778076,0.0008581799231746256,0.06924214342173403,757.0,0.0017010322324865846,0.004495517277972797,2.289116566966086e-06,0.00021207931108402562,0.0005404431246824131,0.0014973108949012564,0.060057931780114635
14.0,274.0,2.449779889419731,5.064406561091802,0.0,0.39806522193474375,0.7601567603989065,2.1251911428401886,55.11561691113028,274.0,-0.0016625497559692541,0.02250626695848575,-0.18171095637345458,-0.0031521795069733927,-0.0007530077525570889,0.0035865096177921498,0.09064592447425508,274.0,0.0060840207944923745,0.013417854178632447,5.826322951201727e-05,0.0005084942939810038,0.0020730677316318923,0.0059196398797734225,0.11751677235548202
